Seg.;Curso;AreadoConhecimento;PPC;DC;Disciplina;Período;Crédito;Campus;Centro
1;Agronomia;Ciências Agrárias;1;0;Informática;1;4;PL;CCTA
2;Engenharia Ambiental;Engenharias;1;0;Introdução à Informática;1;4;PL;CCTA
3;Engenharia de Alimentos;Engenharias;1;0;Introdução à Informática;1;4;PL;CCTA
4;Engenharia Civil;Engenharias;1;1;Introdução a Programação;1;4;PL;CCTA
5;Engenharia Florestal;Ciências Agrárias;1;0;Informática;1;4;PT;CSTR
6;Engenharia Florestal;Ciências Agrárias;1;0;Sist. De Inform. Geo Aplic. A C Florestal;8;4;PT;CSTR
7;Medicina Veterinária;Ciências Agrárias;1;0;Informática;2;3;PT;CSTR
8;Administração;Ciências Sociais Aplicadas;1;0;Introdução à Informática;1;4;SS;CCJS
9;Administração;Ciências Sociais Aplicadas;1;0;Administração de Sist. de Informação I;5;4;SS;CCJS
10;Administração;Ciências Sociais Aplicadas;1;0;Administração de Sist de Informação II;6;4;SS;CCJS
11;Ciências Contábeis;Ciências Sociais Aplicadas;1;0;Fundamentos de Informática;3;4;SS;CCJS
12;Administração;Ciências Sociais Aplicadas;1;1;Gestão de Sistemas de Informações;8;4;CG;CH
13;Administração;Ciências Sociais Aplicadas;1;0;Administrçaão de Sistemas de Informação;8;4;CG;CH
14;Arte e Mídia;Ciências Exatas e da Terra;1;0;Introdução à Informática;1;4;CG;CH
15;Design;Ciências Exatas e da Terra;1;0;Computação Gráfica ;3;4;CG;CCT
16;Engenharia Agrícola;Engenharias;1;0;Computação Aplicada ;4;4;CG;CCBS
17;Engenharia Civil;Engenharias;1;1;Introdução à Ciência da Computação ;2;4;CG;CCBS
18;Engenharia de Materiais;Engenharias;1;1;Introdução à Ciência da Computação ;2;4;CG;CCT
19;Engenharia de Minas;Engenharias;1;1;Introdução à Ciência da Computação ;3;4;CG;CTRN
20;Engenharia de Petróleo;Engenharias;1;1;Introdução à Ciência da Computação ;2;4;CG;CCT
